Start of Queue 0
msgid  table entry func addr.  symbol
 0x04  0x00007278  0x00000000  No Handler / Reserved
 0x05  0x00007280  0x00000000  No Handler / Reserved
 0x06  0x00007288  0x00000000  No Handler / Reserved
 0x07  0x00007290  0x00000000  No Handler / Reserved
 0x08  0x00007298  0x0002C5F8  q3_0x68
 0x09  0x000072A0  0x00000000  No Handler / Reserved
 0x0A  0x000072A8  0x00000000  No Handler / Reserved
 0x0B  0x000072B0  0x00000000  No Handler / Reserved
 0x0C  0x000072B8  0x00000000  No Handler / Reserved
 0x0D  0x000072C0  0x00000000  No Handler / Reserved
 0x0E  0x000072C8  0x00000000  No Handler / Reserved
 0x0F  0x000072D0  0x00000000  No Handler / Reserved
 0x10  0x000072D8  0x0002C44C  q1_0x10
 0x11  0x000072E0  0x00000000  No Handler / Reserved
Start of Queue 2
msgid  table entry func addr.  symbol
 0x01  0x000072E8  0x0001B3A8  done_PPSMC_MSG_TestMessage
 0x02  0x000072F0  0x0001B3C0  PPSMC_MSG_GetSmuVersion
 0x03  0x000072F8  0x0001B92C  q3_0x03
 0x04  0x00007300  0x0001C814  q2_0x04
 0x05  0x00007308  0x0001DC58  q3_0x05_enable_smu_features
 0x06  0x00007310  0x0001DCA4  q3_0x06_disable_smu_features
 0x07  0x00007318  0x00028984  q3_0x07
 0x08  0x00007320  0x000289C4  q3_0x08
 0x09  0x00007328  0x00028A04  q3_0x09
 0x0A  0x00007330  0x00025414  q3_0x0a
 0x0B  0x00007338  0x0002CE78  q3_0x0b
 0x0C  0x00007340  0x0002512C  q3_0x0c
 0x0D  0x00007348  0x0001B954  message_set_some_other_addr_high
 0x0E  0x00007350  0x0001B990  message_set_some_other_addr_low
 0x0F  0x00007358  0x0001BA6C  q3_0x3E
 0x10  0x00007360  0x0001BAAC  q3_0x3F
 0x11  0x00007368  0x0001BB1C  PPSMC_MSG_TransferTableSmu2Dram
 0x12  0x00007370  0x0001BBC0  PPSMC_MSG_TransferTableDram2Smu
 0x13  0x00007378  0x00024C3C  q3_0x21
 0x14  0x00007380  0x0002D444  q2_0x14
 0x15  0x00007388  0x0002D474  q2_0x15
 0x16  0x00007390  0x00020264  q2_0x16
 0x17  0x00007398  0x0002D7A0  q2_0x17
 0x18  0x000073A0  0x0002DB90  q3_0x4C
 0x19  0x000073A8  0x00000000  No Handler / Reserved
 0x1A  0x000073B0  0x0002557C  q2_0x1A
 0x1B  0x000073B8  0x00025188  PPSMC_MSG_ConfigureS3PwrOffRegisterAddressHigh
 0x1C  0x000073C0  0x000251B8  PPSMC_MSG_ConfigureS3PwrOffRegisterAddressLow
 0x1D  0x000073C8  0x000270DC  PPSMC_MSG_StartTelemetryReporting
 0x1E  0x000073D0  0x00027124  PPSMC_MSG_StopTelemetryReporting
 0x1F  0x000073D8  0x00027154  PPSMC_MSG_ClearTelemetryMax
 0x20  0x000073E0  0x00020294  q2_0x20
 0x21  0x000073E8  0x0002D4A8  q2_0x21
 0x22  0x000073F0  0x0002D5C0  q2_0x22
 0x23  0x000073F8  0x0002D620  q2_0x23
 0x24  0x00007400  0x00000000  No Handler / Reserved
 0x25  0x00007408  0x00000000  No Handler / Reserved
 0x26  0x00007410  0x00000000  No Handler / Reserved
 0x27  0x00007418  0x0001F218  q3_0x5C_something_freq_related
 0x28  0x00007420  0x0001F2F0  q3_0x5D_something_freq_related
 0x29  0x00007428  0x000205DC  q2_0x29
 0x2A  0x00007430  0x000276F8  q3_0x8B
 0x2B  0x00007438  0x00027730  q3_0x8C
 0x2C  0x00007440  0x0003247C  q2_0x2c
 0x2D  0x00007448  0x000324A0  q2_0x2d
 0x2E  0x00007450  0x000324C4  q2_0x2E
 0x2F  0x00007458  0x000324F8  q2_0x2f
 0x30  0x00007460  0x0001BDC4  q2_0x30
 0x31  0x00007468  0x00000000  No Handler / Reserved
Start of Queue 3
msgid  table entry func addr.  symbol
 0x01  0x00007470  0x0001B3A8  done_PPSMC_MSG_TestMessage
 0x02  0x00007478  0x0001B3C0  PPSMC_MSG_GetSmuVersion
 0x03  0x00007480  0x0001B92C  q3_0x03
 0x04  0x00007488  0x0001E604  q3_0x04
 0x05  0x00007490  0x00000000  No Handler / Reserved
 0x06  0x00007498  0x00000000  No Handler / Reserved
 0x07  0x000074A0  0x00000000  No Handler / Reserved
 0x08  0x000074A8  0x00000000  No Handler / Reserved
 0x09  0x000074B0  0x00000000  No Handler / Reserved
 0x0A  0x000074B8  0x0001BAEC  q3_0x0A
 0x0B  0x000074C0  0x0001BB04  q3_0x0B
 0x0C  0x000074C8  0x00027AC4  q3_0x0C
 0x0D  0x000074D0  0x00027E04  q3_0x0D
 0x0E  0x000074D8  0x00027E54  q3_0x0E
 0x0F  0x000074E0  0x00027E94  q3_0x0F_set_cpu_gpu_vid
 0x10  0x000074E8  0x00027EC8  q3_0x10
 0x11  0x000074F0  0x00027D18  q3_0x11
 0x12  0x000074F8  0x00000000  No Handler / Reserved
 0x13  0x00007500  0x00000000  No Handler / Reserved
 0x14  0x00007508  0x000286C8  q3_0x14
 0x15  0x00007510  0x000286F4  q3_0x15
 0x16  0x00007518  0x00000000  No Handler / Reserved
 0x17  0x00007520  0x00000000  No Handler / Reserved
 0x18  0x00007528  0x0002889C  q3_0x18
 0x19  0x00007530  0x000288B0  q3_0x19
 0x1A  0x00007538  0x0002A968  q3_0x1A
 0x1B  0x00007540  0x0002A958  q3_0x1B
 0x1C  0x00007548  0x0002B400  PPSMC_MSG_RequestGfxclk
 0x1D  0x00007550  0x0002EA08  q3_0x1D
 0x1E  0x00007558  0x0001E944  q3_0x1E
 0x1F  0x00007560  0x00000000  No Handler / Reserved
 0x20  0x00007568  0x000276B4  q3_0x20
 0x21  0x00007570  0x00024C3C  q3_0x21
 0x22  0x00007578  0x0001BB1C  PPSMC_MSG_TransferTableSmu2Dram
 0x23  0x00007580  0x0001BBC0  PPSMC_MSG_TransferTableDram2Smu
 0x24  0x00007588  0x0001C400  q3_0x24
 0x25  0x00007590  0x00027D50  q3_0x25_set_oc_clk
 0x26  0x00007598  0x00027DB4  q3_0x26_unset_oc_clk
 0x27  0x000075A0  0x00027EF4  q3_0x27
 0x28  0x000075A8  0x00027F20  q3_0x28_write_to_DAT_8b08
 0x29  0x000075B0  0x00027F38  q3_0x29_write_to_pointer_at_DAT_8b08
 0x2A  0x000075B8  0x00027F58  q3_0x2A
 0x2B  0x000075C0  0x00027F7C  q3_0x2B
 0x2C  0x000075C8  0x00027F94  q3_0x2C
 0x2D  0x000075D0  0x00027FB4  q3_0x2D
 0x2E  0x000075D8  0x00028054  q3_0x2E
 0x2F  0x000075E0  0x00028078  q3_0x2F
 0x30  0x000075E8  0x0002DAFC  q3_0x30
 0x31  0x000075F0  0x000270DC  PPSMC_MSG_StartTelemetryReporting
 0x32  0x000075F8  0x00027124  PPSMC_MSG_StopTelemetryReporting
 0x33  0x00007600  0x00027154  PPSMC_MSG_ClearTelemetryMax
 0x34  0x00007608  0x0001BD08  q3_0x34
 0x35  0x00007610  0x0001DCF4  PPSMC_MSG_GetEnabledSmuFeatures
 0x36  0x00007618  0x0002C0C8  q3_0x36_get_current_cpu_vid
 0x37  0x00007620  0x0002C0EC  q3_0x37_get_current_gpu_vid
 0x38  0x00007628  0x0001E80C  q3_0x38_something_freq_related
 0x39  0x00007630  0x0001E844  q3_0x39
 0x3A  0x00007638  0x0001E87C  q3_0x3A
 0x3B  0x00007640  0x00022CE8  q3_0x3B_get_clk_assigned_to_p_state
 0x3C  0x00007648  0x0001DC58  q3_0x05_enable_smu_features
 0x3D  0x00007650  0x0001DCA4  q3_0x06_disable_smu_features
 0x3E  0x00007658  0x0001BA6C  q3_0x3E
 0x3F  0x00007660  0x0001BAAC  q3_0x3F
 0x40  0x00007668  0x0002776C  q3_0x40
 0x41  0x00007670  0x0001F098  q3_0x41
 0x42  0x00007678  0x0002EB14  q3_0x42
 0x43  0x00007680  0x00022D20  q3_0x43
 0x44  0x00007688  0x0002B504  PPSMC_MSG_GetGfxFrequency
 0x45  0x00007690  0x00022C94  PPSMC_MSG_QueryCorePstate
 0x46  0x00007698  0x0001E988  PPSMC_MSG_QueryDfPstate
 0x47  0x000076A0  0x00022CC8  q3_0x47
 0x48  0x000076A8  0x00022CD8  q3_0x48
 0x49  0x000076B0  0x0002DDE4  q3_0x49_set_cpu_vid_offset
 0x4A  0x000076B8  0x0002DE10  PPSMC_MSG_Set_GfxVidOffset1
 0x4B  0x000076C0  0x0002D7A0  q2_0x17
 0x4C  0x000076C8  0x0002DB90  q3_0x4C
 0x4D  0x000076D0  0x00028184  q3_0x4D
 0x4E  0x000076D8  0x000281D4  q3_0x4E
 0x4F  0x000076E0  0x0002810C  q3_0x4F
 0x50  0x000076E8  0x0002814C  q3_0x50
 0x51  0x000076F0  0x00022E78  q3_0x51_set_cpu_coeff
 0x52  0x000076F8  0x00022EBC  q3_0x52
 0x53  0x00007700  0x00022F00  q3_0x53
 0x54  0x00007708  0x0002B850  q3_0x54
 0x55  0x00007710  0x0002B880  q3_0x55
 0x56  0x00007718  0x0002B8A8  q3_0x56
 0x57  0x00007720  0x0002B8D4  PPSMC_MSG_ForceGfxFreq
 0x58  0x00007728  0x0002B908  q3_0x58
 0x59  0x00007730  0x0002B930  q3_0x59
 0x5A  0x00007738  0x0002B954  q3_0x5A
 0x5B  0x00007740  0x0001B398  q3_0x5B
 0x5C  0x00007748  0x0001F218  q3_0x5C_something_freq_related
 0x5D  0x00007750  0x0001F2F0  q3_0x5D_something_freq_related
 0x5E  0x00007758  0x00027CB8  q3_0x5E
 0x5F  0x00007760  0x00027C68  q3_0x5F_write_somecpu_frequency
 0x60  0x00007768  0x0002E428  q3_0x60_somthing_pstate_related
 0x61  0x00007770  0x00000000  No Handler / Reserved
 0x62  0x00007778  0x0002B8F8  PPSMC_MSG_UnForceGfxFreq
 0x63  0x00007780  0x00000000  No Handler / Reserved
 0x64  0x00007788  0x00022BBC  PPSMC_MSG_RequestCorePstate
 0x65  0x00007790  0x0002B970  q3_0x65
 0x66  0x00007798  0x0002B988  q3_0x66
 0x67  0x000077A0  0x0002B99C  q3_0x67
 0x68  0x000077A8  0x0002C5F8  q3_0x68
 0x69  0x000077B0  0x00000000  No Handler / Reserved
 0x6A  0x000077B8  0x000230C8  q3_0x6A
 0x6B  0x000077C0  0x0002B9B4  q3_0x6B
 0x6C  0x000077C8  0x00028224  q3_0x6C
 0x6D  0x000077D0  0x00022F44  q3_0x6D
 0x6E  0x000077D8  0x00023018  q3_0x6E
 0x6F  0x000077E0  0x000287B8  q3_0x6F
 0x70  0x000077E8  0x00028800  q3_0x70
 0x71  0x000077F0  0x000284B4  q3_0x71
 0x72  0x000077F8  0x000284D4  q3_0x72
 0x73  0x00007800  0x00028940  q3_0x73
 0x74  0x00007808  0x00028D2C  q3_0x74
 0x75  0x00007810  0x00028D50  q3_0x75
 0x76  0x00007818  0x00028E30  q3_0x76
 0x77  0x00007820  0x0002F5E8  q3_0x77_someting_freq
 0x78  0x00007828  0x00000000  No Handler / Reserved
 0x79  0x00007830  0x00000000  No Handler / Reserved
 0x7A  0x00007838  0x0001B9D0  PPSMC_MSG_SetDriverTableDramAddrHigh
 0x7B  0x00007840  0x0001BA10  PPSMC_MSG_SetDriverTableDramAddrLow
 0x7C  0x00007848  0x00000000  No Handler / Reserved
 0x7D  0x00007850  0x00000000  No Handler / Reserved
 0x7E  0x00007858  0x00000000  No Handler / Reserved
 0x7F  0x00007860  0x0001F624  q3_0x7F
 0x80  0x00007868  0x0001F640  q3_0x80
 0x81  0x00007870  0x00000000  No Handler / Reserved
 0x82  0x00007878  0x00000000  No Handler / Reserved
 0x83  0x00007880  0x00000000  No Handler / Reserved
 0x84  0x00007888  0x00000000  No Handler / Reserved
 0x85  0x00007890  0x0002925C  q3_0x85
 0x86  0x00007898  0x00029280  q3_0x86
 0x87  0x000078A0  0x0002937C  q3_0x87
 0x88  0x000078A8  0x00000000  No Handler / Reserved
 0x89  0x000078B0  0x00000000  No Handler / Reserved
 0x8A  0x000078B8  0x00000000  No Handler / Reserved
 0x8B  0x000078C0  0x000276F8  q3_0x8B
 0x8C  0x000078C8  0x00027730  q3_0x8C
 0x8D  0x000078D0  0x0001F65C  q3_0x8D
 0x8E  0x000078D8  0x0002F6B0  q3_0x8E
 0x8F  0x000078E0  0x0002344C  q3_0x8F_set_max_cpu_boost_clk
 0x90  0x000078E8  0x00028278  q3_0x90
 0x91  0x000078F0  0x000282EC  q3_0x91
 0x92  0x000078F8  0x00000000  No Handler / Reserved
 0x93  0x00007900  0x00000000  No Handler / Reserved
 0x94  0x00007908  0x00000000  No Handler / Reserved
 0x95  0x00007910  0x00000000  No Handler / Reserved
 0x96  0x00007918  0x00028324  q3_0x96
 0x97  0x00007920  0x00000000  No Handler / Reserved
 0x98  0x00007928  0x00028340  q3_0x98
 0x99  0x00007930  0x00028380  q3_0x99
 0x9A  0x00007938  0x0002C310  q3_0x9A
 0x9B  0x00007940  0x0002725C  q3_0x9B
 0x9C  0x00007948  0x00027478  q3_0x9C
 0x9D  0x00007950  0x00000000  No Handler / Reserved
 0x9E  0x00007958  0x00000000  No Handler / Reserved
 0x9F  0x00007960  0x00000000  No Handler / Reserved
 0xA0  0x00007968  0x00000000  No Handler / Reserved
 0xA1  0x00007970  0x00000000  No Handler / Reserved
 0xA2  0x00007978  0x00000000  No Handler / Reserved
 0xA3  0x00007980  0x00000000  No Handler / Reserved
 0xA4  0x00007988  0x00000000  No Handler / Reserved
 0xA5  0x00007990  0x00000000  No Handler / Reserved
 0xA6  0x00007998  0x00000000  No Handler / Reserved
 0xA7  0x000079A0  0x000283A8  q3_0xA7
 0xA8  0x000079A8  0x000283FC  q3_0xA8
 0xA9  0x000079B0  0x00000000  No Handler / Reserved
Start of Queue 4
msgid  table entry func addr.  symbol
 0x01  0x000079B8  0x0001B3A8  done_PPSMC_MSG_TestMessage
 0x02  0x000079C0  0x0001B3C0  PPSMC_MSG_GetSmuVersion
 0x03  0x000079C8  0x00000000  No Handler / Reserved
 0x04  0x000079D0  0x0001B3F4  q4_0x04
 0x05  0x000079D8  0x0002548C  q4_0x05
 0x06  0x000079E0  0x0001E6B0  q4_0x06
 0x07  0x000079E8  0x0001E720  q4_0x07
 0x08  0x000079F0  0x0001E7C0  q4_0x08
 0x09  0x000079F8  0x0001C3B0  q4_0x09
 0x0A  0x00007A00  0x0001E7D8  q4_0x0A_freq_op1
 0x0B  0x00007A08  0x0002A938  q4_0x0B
 0x0C  0x00007A10  0x0002E428  q3_0x60_somthing_pstate_related
 0x0D  0x00007A18  0x0001E650  q4_0x0D
 0x0E  0x00007A20  0x0001F218  q3_0x5C_something_freq_related
 0x0F  0x00007A28  0x0001F2F0  q3_0x5D_something_freq_related
 0x10  0x00007A30  0x000300B4  q4_0x10
 0x11  0x00007A38  0x0002F6C4  q4_0x11
 0x12  0x00007A40  0x00000000  No Handler / Reserved
 0x13  0x00007A48  0x00000000  No Handler / Reserved
 0x14  0x00007A50  0x0002A968  q3_0x1A
 0x15  0x00007A58  0x00000000  No Handler / Reserved
Start of Queue 5
msgid  table entry func addr.  symbol
 0x01  0x00007A60  0x0001B3A8  done_PPSMC_MSG_TestMessage
 0x02  0x00007A68  0x0001B3C0  PPSMC_MSG_GetSmuVersion
 0x03  0x00007A70  0x00000000  No Handler / Reserved
 0x04  0x00007A78  0x00000000  No Handler / Reserved
Start of Queue 6
msgid  table entry func addr.  symbol
 0x01  0x00007A80  0x00000000  No Handler / Reserved
 0x02  0x00007A88  0x00000000  No Handler / Reserved
 0x03  0x00007A90  0x0000706C  Missing Function at 0x0000706C
